StudentID,Age,Gender,AttendancePercentage,StudyHoursPerWeek,AssignmentCompletionRate,PreviousExamScore,ParticipationScore,ExtracurricularActivities,InternetAccessAtHome,ParentEducationLevel,FinalExamScore
131,20,Male,50,3,91,99,8,No,No,High School,91.66
132,20,Male,98,7,64,52,6,Yes,No,Postgraduate,73.52
133,18,Male,96,11,93,97,6,Yes,No,Graduate,100.0
134,20,Male,87,18,100,85,8,No,Yes,High School,100.0
135,22,Female,73,12,42,43,10,No,Yes,Graduate,63.83
136,19,Male,96,6,45,47,9,No,No,Graduate,68.08
137,24,Male,80,5,100,74,5,Yes,Yes,High School,74.36
138,19,Male,90,26,97,89,1,No,Yes,Postgraduate,100.0
139,18,Male,95,1,45,77,1,Yes,No,High School,62.31
140,21,Female,99,12,92,78,2,No,Yes,Postgraduate,89.29
141,24,Male,75,27,41,67,10,Yes,No,Graduate,100.0
142,18,Male,98,26,97,58,10,Yes,Yes,Graduate,100.0
143,21,Female,99,11,97,70,5,No,No,Graduate,75.15
144,19,Female,54,4,57,44,4,Yes,Yes,Postgraduate,52.4
145,18,Female,69,27,62,54,1,Yes,Yes,High School,84.69
146,24,Male,90,18,41,46,4,No,Yes,Postgraduate,70.38
147,24,Male,60,4,51,96,4,Yes,Yes,Graduate,67.87
148,23,Female,82,17,61,52,10,Yes,No,Graduate,85.9
149,22,Female,99,2,76,97,4,Yes,Yes,High School,83.13
150,20,Female,87,29,59,59,1,No,No,Postgraduate,90.71
151,21,Female,76,24,78,46,9,No,No,Graduate,84.24
152,23,Female,83,22,63,55,3,No,Yes,Postgraduate,83.32
153,20,Female,64,2,87,59,4,No,Yes,Postgraduate,64.9
154,20,Male,81,12,59,45,5,No,No,High School,59.67
155,18,Male,70,6,40,98,7,No,Yes,High School,89.1
156,20,Male,95,10,40,84,6,No,No,Graduate,85.07
157,22,Female,54,25,56,96,5,No,Yes,High School,100.0
158,24,Female,55,23,98,83,8,Yes,No,Postgraduate,96.26
159,23,Female,87,25,40,48,1,Yes,Yes,High School,79.91
160,20,Female,71,21,92,35,7,Yes,Yes,Postgraduate,71.23
161,18,Female,67,23,91,59,6,Yes,No,Graduate,85.46
162,22,Female,63,27,84,93,5,No,No,Postgraduate,100.0
163,19,Male,59,16,69,39,7,Yes,No,High School,68.02
164,24,Male,95,14,80,53,3,Yes,Yes,High School,76.29
165,24,Female,62,7,86,57,1,Yes,Yes,Graduate,70.49
166,23,Male,80,28,42,43,9,Yes,Yes,High School,88.81
167,24,Female,79,28,85,84,2,Yes,Yes,Graduate,100.0
168,20,Male,52,19,94,50,10,No,No,Graduate,84.47
169,18,Female,79,23,50,67,3,No,No,High School,85.07
170,24,Female,55,17,63,36,8,Yes,Yes,Postgraduate,64.16
171,24,Male,78,9,61,48,10,Yes,Yes,Graduate,73.99
172,19,Male,57,26,83,35,9,Yes,Yes,Postgraduate,96.98
173,19,Female,93,13,84,92,3,Yes,No,High School,93.14
174,21,Female,94,22,65,50,6,No,No,Postgraduate,85.11
175,22,Male,92,5,52,81,7,Yes,Yes,Postgraduate,84.85
176,20,Male,93,23,40,78,1,No,No,Postgraduate,93.91
177,24,Female,82,5,63,48,7,Yes,Yes,Postgraduate,66.15
178,24,Male,66,10,49,58,4,No,Yes,High School,63.11
179,18,Female,97,21,74,89,5,No,No,High School,100.0
180,21,Female,60,27,63,49,8,No,No,Postgraduate,88.5
181,22,Female,62,10,67,68,4,Yes,No,High School,75.62
182,21,Female,99,27,75,36,4,Yes,No,High School,81.55
183,23,Male,60,7,55,61,8,No,Yes,Graduate,65.17
184,22,Male,80,26,79,57,5,Yes,No,High School,92.68
185,24,Male,77,15,55,48,6,Yes,No,Postgraduate,66.07
186,24,Male,93,7,98,97,5,No,No,High School,91.0
187,22,Male,55,29,56,99,1,Yes,No,High School,93.85
188,24,Male,90,27,90,97,7,No,Yes,High School,100.0
189,20,Male,65,15,93,98,6,Yes,Yes,High School,100.0
190,22,Female,53,3,54,66,2,Yes,No,Graduate,51.96
191,21,Male,84,19,55,47,7,No,No,Postgraduate,76.89
192,22,Male,97,10,54,100,6,No,Yes,Postgraduate,93.9
193,24,Female,75,28,96,53,5,No,Yes,High School,89.04
194,20,Male,61,29,73,58,8,No,No,High School,93.54
195,20,Male,60,15,50,45,5,Yes,Yes,Graduate,74.42
196,23,Female,86,3,40,93,2,Yes,Yes,High School,73.44
197,21,Male,74,6,54,49,6,Yes,Yes,Graduate,66.08
198,19,Male,67,12,65,44,1,No,Yes,Postgraduate,66.72
199,19,Male,68,15,90,75,5,Yes,No,Postgraduate,87.4
200,22,Female,72,6,43,61,6,Yes,Yes,Graduate,63.39
201,23,Male,87,13,82,94,7,Yes,Yes,Postgraduate,90.93
202,18,Male,67,29,44,86,2,No,No,High School,94.59
203,22,Female,75,19,74,62,1,No,No,High School,77.49
204,23,Male,55,3,52,99,6,Yes,No,Graduate,71.91
205,21,Female,53,8,49,51,3,Yes,Yes,Postgraduate,62.73
206,21,Female,93,8,50,78,5,No,No,Postgraduate,83.81
207,21,Male,100,23,57,44,2,No,Yes,Graduate,83.88
208,21,Female,78,26,73,97,1,No,No,Graduate,100.0
209,21,Female,83,20,78,81,1,No,Yes,Postgraduate,85.08
210,23,Male,66,15,80,72,4,Yes,No,Graduate,88.24
211,23,Female,92,4,81,87,10,No,No,High School,91.18
212,20,Female,92,19,89,78,2,Yes,Yes,Postgraduate,96.52
213,19,Male,65,21,62,88,1,No,No,Graduate,91.7
214,24,Male,51,3,46,54,6,Yes,No,Graduate,55.55
215,21,Male,83,13,98,65,4,Yes,No,Graduate,92.15
216,18,Female,57,8,78,41,10,No,No,Postgraduate,62.86
217,24,Male,62,23,42,92,7,Yes,No,High School,96.66
218,23,Female,91,16,51,44,6,Yes,Yes,High School,82.06
219,18,Female,57,13,46,44,5,Yes,Yes,Postgraduate,61.61
220,18,Female,79,3,88,73,10,No,No,Graduate,79.82
221,18,Female,81,16,65,62,2,No,No,Postgraduate,74.78
222,20,Female,85,9,72,64,5,No,Yes,Postgraduate,78.3
223,23,Female,96,28,76,71,9,Yes,Yes,Graduate,100.0
224,18,Female,79,14,87,77,9,Yes,No,Postgraduate,92.09
225,21,Male,50,13,54,86,2,Yes,Yes,High School,78.71
226,22,Male,92,21,41,90,7,Yes,No,Postgraduate,100.0
227,18,Female,88,25,80,43,10,No,No,Graduate,88.9
228,20,Female,66,7,46,57,4,Yes,No,Postgraduate,60.31
229,24,Male,69,15,71,97,3,Yes,No,High School,97.57
230,23,Female,73,7,43,95,1,Yes,Yes,Postgraduate,77.53
231,20,Male,99,6,59,74,3,No,Yes,Postgraduate,81.24
232,18,Male,71,2,89,78,9,Yes,Yes,Postgraduate,74.89
233,23,Male,78,9,92,58,9,No,No,Postgraduate,85.15
234,22,Female,71,22,75,85,7,No,Yes,Graduate,97.36
235,18,Female,93,24,71,92,3,Yes,No,High School,97.79
236,20,Male,58,17,67,67,3,Yes,No,High School,72.68
237,19,Male,86,5,52,50,4,Yes,Yes,High School,60.16
238,21,Male,59,12,40,56,7,Yes,No,Postgraduate,73.04
239,24,Male,85,1,99,91,7,No,No,High School,86.05
240,20,Male,86,10,95,96,2,No,No,Graduate,88.88
241,23,Female,77,11,74,64,5,No,Yes,Postgraduate,70.84
242,18,Male,77,16,87,57,7,No,No,Postgraduate,87.33
243,21,Female,91,14,69,66,7,No,Yes,High School,90.37
244,18,Male,92,8,93,91,6,No,No,Postgraduate,93.39
245,23,Female,70,24,75,43,10,No,Yes,Postgraduate,83.14
246,18,Female,73,17,96,65,10,No,No,High School,97.69
247,19,Female,91,25,94,43,8,No,Yes,Graduate,99.79
248,21,Female,89,18,64,47,3,No,Yes,Graduate,82.32
249,21,Female,51,12,55,92,1,Yes,No,High School,73.56
250,23,Female,57,25,97,37,3,Yes,No,Graduate,79.28
251,24,Male,97,17,58,69,2,Yes,No,Graduate,79.88
252,19,Female,76,28,40,55,2,No,No,Graduate,77.94
253,20,Male,71,26,44,98,2,Yes,Yes,Postgraduate,100.0
254,18,Female,86,14,90,86,5,No,No,Postgraduate,96.52
255,22,Female,76,16,61,68,1,No,Yes,Postgraduate,82.11
256,18,Male,78,14,63,69,10,Yes,No,Graduate,81.78
257,18,Female,52,9,82,49,4,No,Yes,Postgraduate,62.99
258,20,Male,93,4,84,40,10,Yes,Yes,Graduate,71.54
259,18,Male,62,25,91,66,5,No,Yes,High School,89.09
260,19,Male,94,23,76,86,2,No,No,Graduate,100.0
261,19,Male,59,11,92,62,5,Yes,No,Postgraduate,72.97
262,21,Female,85,6,75,98,10,Yes,Yes,Graduate,96.82
263,23,Female,58,15,75,53,4,Yes,Yes,Postgraduate,67.95
264,24,Male,76,5,43,49,8,Yes,Yes,Postgraduate,55.73
265,22,Female,83,11,75,40,1,Yes,Yes,High School,65.12
266,18,Female,100,25,91,72,5,Yes,Yes,High School,100.0
267,18,Male,50,18,92,60,10,No,No,Postgraduate,88.59
268,20,Female,81,30,57,85,1,No,Yes,Graduate,99.11
269,23,Male,74,13,89,87,10,No,No,High School,99.66
270,19,Male,78,11,55,90,10,No,No,High School,98.88
271,22,Female,56,14,80,93,4,Yes,No,Postgraduate,84.43
272,21,Female,98,28,57,92,8,No,Yes,Graduate,100.0
273,19,Female,52,18,61,47,1,No,Yes,High School,64.81
274,23,Male,69,27,41,77,2,Yes,Yes,High School,89.08
275,24,Male,69,28,60,85,1,No,Yes,Graduate,87.92
276,21,Female,79,25,75,53,7,Yes,No,High School,91.34
277,24,Female,84,28,83,55,2,Yes,No,Graduate,93.96
278,20,Female,84,19,78,58,1,Yes,No,Postgraduate,80.52
279,20,Female,98,24,86,60,6,No,Yes,High School,90.11
280,18,Male,88,27,78,79,6,Yes,Yes,Postgraduate,100.0
281,24,Female,76,15,68,62,10,No,Yes,Graduate,94.54
282,23,Male,75,9,93,63,2,No,Yes,Postgraduate,70.55
283,22,Male,63,8,65,51,1,No,Yes,Postgraduate,67.96
284,21,Female,66,20,60,78,10,Yes,Yes,Postgraduate,92.15
285,19,Female,67,28,56,95,3,Yes,No,Graduate,96.29
286,23,Female,94,1,55,59,10,Yes,No,Graduate,64.73
287,23,Male,78,4,99,36,5,No,Yes,Graduate,60.18
288,20,Female,69,14,70,83,6,No,No,Graduate,78.56
289,24,Female,76,25,90,60,3,Yes,No,Graduate,88.65
290,18,Male,67,2,48,61,9,No,No,High School,78.62
291,18,Female,53,16,70,52,5,Yes,No,High School,63.68
292,21,Male,50,3,53,88,2,Yes,Yes,High School,61.41
293,20,Female,99,26,88,35,10,No,No,Postgraduate,89.77
294,23,Male,50,8,76,95,6,No,Yes,Postgraduate,81.33
295,22,Female,75,6,41,37,8,Yes,Yes,Graduate,55.26
296,20,Female,94,16,91,75,6,No,No,Graduate,91.05
297,21,Male,69,24,87,71,4,Yes,Yes,High School,92.82
298,21,Male,72,16,85,85,6,Yes,No,Graduate,96.77
299,20,Female,59,7,53,49,8,No,Yes,Postgraduate,69.13
300,21,Male,60,30,98,42,8,Yes,Yes,Graduate,92.18
301,20,Male,90,13,72,72,10,No,No,High School,91.83
302,19,Male,90,13,74,90,2,Yes,No,Graduate,90.52
303,20,Male,54,5,97,81,8,No,Yes,Postgraduate,73.62
304,24,Female,50,25,78,44,6,No,No,High School,79.74
305,20,Female,66,20,97,83,2,Yes,Yes,Graduate,89.57
306,21,Male,71,22,86,75,1,No,No,Postgraduate,93.51
307,24,Male,83,18,90,64,6,No,Yes,High School,98.26
308,21,Male,94,15,59,39,7,Yes,Yes,High School,69.81
309,18,Male,90,18,41,65,10,No,Yes,Postgraduate,96.4
310,18,Female,78,2,90,86,5,Yes,Yes,Graduate,70.41
311,24,Female,53,10,80,57,10,No,Yes,Graduate,76.25
312,19,Male,54,23,58,82,8,Yes,No,Graduate,97.3
313,18,Male,60,13,98,74,9,Yes,Yes,High School,81.68
314,20,Male,100,18,76,40,4,Yes,No,High School,72.86
315,21,Female,70,15,57,72,7,Yes,No,Graduate,78.82
316,18,Male,84,12,55,75,8,No,Yes,High School,78.64
317,18,Female,61,15,43,61,6,Yes,Yes,High School,59.77
318,19,Male,75,13,51,91,2,No,No,Postgraduate,81.16
319,24,Female,100,18,68,51,7,Yes,Yes,Graduate,84.82
320,24,Male,68,15,46,81,9,No,Yes,Graduate,87.98
321,23,Female,94,25,53,47,5,Yes,No,Graduate,89.23
322,19,Male,56,23,94,45,2,No,No,High School,66.46
323,20,Male,96,11,51,58,4,No,No,High School,70.24
324,24,Male,56,19,74,38,3,Yes,No,High School,79.5
325,21,Female,75,3,44,80,4,Yes,No,Graduate,71.63
326,19,Male,89,7,56,52,10,Yes,No,High School,77.46
327,18,Female,54,21,97,77,7,No,Yes,Graduate,90.62
328,21,Female,70,26,81,67,10,No,No,High School,100.0
329,21,Male,63,14,71,44,8,No,No,Graduate,60.35
330,18,Male,53,14,49,93,1,No,Yes,Postgraduate,81.03
331,19,Male,72,22,82,65,8,Yes,Yes,High School,100.0
332,18,Female,91,13,56,62,5,Yes,Yes,Graduate,70.35
333,23,Male,69,12,44,94,7,Yes,Yes,Postgraduate,81.81
334,21,Female,64,24,84,37,1,Yes,Yes,Postgraduate,72.19
335,22,Female,99,9,81,89,2,No,Yes,High School,86.57
336,22,Male,94,1,48,48,1,No,No,Graduate,47.59
337,20,Male,78,19,88,92,5,Yes,Yes,High School,96.42
338,24,Male,57,11,72,49,6,No,Yes,Postgraduate,62.43
339,18,Male,90,23,75,36,10,Yes,Yes,High School,87.8
340,18,Male,97,22,75,58,9,No,Yes,Graduate,99.58
341,20,Male,68,23,57,98,8,No,No,Postgraduate,100.0
342,20,Female,97,24,48,58,7,No,Yes,High School,91.28
343,20,Female,88,22,96,61,5,No,Yes,High School,84.55
344,21,Female,95,19,68,71,3,No,No,High School,92.79
345,23,Male,77,18,100,73,9,No,No,High School,98.09
346,18,Female,95,12,89,97,5,Yes,No,High School,95.72
347,21,Female,76,23,53,60,3,No,Yes,Postgraduate,83.53
348,20,Female,53,28,64,99,3,Yes,No,Postgraduate,98.63
349,18,Female,64,28,54,38,3,Yes,No,Graduate,74.02
350,21,Female,84,28,45,63,6,Yes,No,High School,95.04
351,23,Male,86,27,95,35,1,Yes,Yes,Graduate,77.71
352,21,Male,50,1,81,84,4,Yes,Yes,Postgraduate,58.92
353,23,Female,52,19,68,45,8,Yes,No,High School,66.61
354,20,Female,96,28,54,93,3,No,Yes,Graduate,100.0
355,23,Female,73,27,68,96,5,No,Yes,High School,100.0
356,18,Male,76,20,43,70,2,No,Yes,High School,79.82
357,20,Male,89,29,57,90,2,Yes,Yes,Graduate,98.84
358,18,Female,85,30,89,55,7,Yes,Yes,Postgraduate,100.0
359,22,Male,83,17,96,47,10,Yes,No,Graduate,85.55
360,19,Male,78,5,88,43,3,No,No,Graduate,55.65
361,23,Female,73,26,83,45,5,No,No,Graduate,85.62
362,19,Male,73,3,78,35,3,No,No,High School,51.63
363,19,Male,91,2,55,90,6,Yes,Yes,Postgraduate,87.1
364,23,Female,53,3,50,65,10,Yes,No,Postgraduate,68.78
365,20,Male,52,8,53,71,3,Yes,No,High School,68.69
366,22,Male,83,16,42,81,8,No,Yes,Postgraduate,96.07
367,18,Female,98,6,90,81,2,Yes,Yes,Graduate,75.93
368,21,Male,72,13,89,92,3,Yes,Yes,Postgraduate,87.65
369,18,Male,72,30,81,70,8,Yes,Yes,High School,100.0
370,21,Female,94,23,77,66,8,Yes,No,Postgraduate,96.24
371,18,Female,54,28,84,98,1,No,Yes,High School,100.0
372,23,Female,80,22,81,76,8,No,Yes,Graduate,97.22
373,22,Male,90,22,57,82,10,Yes,Yes,High School,100.0
374,21,Female,55,16,97,64,2,Yes,Yes,Postgraduate,78.71
375,24,Male,86,28,59,55,7,No,Yes,Graduate,88.37
376,20,Female,59,16,97,94,6,No,Yes,Postgraduate,95.29
377,18,Male,89,3,87,47,2,Yes,No,High School,57.09
378,18,Female,56,28,64,35,5,No,No,Graduate,70.29
379,21,Female,88,13,96,99,7,No,No,High School,98.82
380,20,Female,87,14,77,67,8,Yes,Yes,Postgraduate,92.27
381,20,Female,70,8,52,72,3,No,Yes,High School,72.6
382,23,Male,69,12,43,59,1,No,No,Postgraduate,54.55
383,24,Female,52,23,94,60,7,No,No,Postgraduate,91.96
384,23,Female,100,23,53,93,5,No,No,Graduate,97.55
385,23,Male,71,22,72,67,5,Yes,No,Graduate,87.04
386,23,Female,96,21,67,75,7,No,Yes,High School,98.21
387,23,Male,53,26,91,64,1,No,No,Postgraduate,89.51
388,23,Female,77,8,76,91,8,Yes,Yes,Postgraduate,88.48
389,22,Female,61,21,47,83,10,No,Yes,Graduate,91.73
390,20,Female,87,25,83,82,5,Yes,Yes,Graduate,98.33
391,23,Male,100,9,73,83,8,Yes,No,Graduate,91.94
392,20,Female,85,1,83,81,10,No,No,Graduate,78.93
393,20,Female,96,6,44,90,10,No,No,High School,86.46
394,19,Female,90,23,93,99,5,No,Yes,High School,100.0
395,22,Male,54,19,44,46,7,No,Yes,High School,73.57
396,23,Male,62,23,70,40,10,No,No,High School,91.43
397,18,Female,72,11,84,99,3,Yes,Yes,Graduate,84.16
398,21,Male,99,11,48,59,2,No,No,High School,66.2
399,24,Female,79,23,81,35,6,Yes,Yes,High School,81.22
400,18,Female,86,30,71,66,5,No,Yes,High School,100.0
401,22,Female,74,13,72,37,9,Yes,Yes,Graduate,67.38
402,21,Female,97,11,42,83,10,No,Yes,Postgraduate,91.44
403,22,Female,76,18,69,53,4,No,Yes,Graduate,83.61
404,20,Female,100,23,89,94,3,No,Yes,Postgraduate,100.0
405,21,Female,63,15,51,63,9,No,Yes,Postgraduate,85.2
406,20,Male,97,1,68,84,8,No,No,High School,90.39
407,18,Male,96,21,42,36,6,Yes,Yes,High School,77.38
408,18,Male,85,25,65,90,1,No,Yes,High School,100.0
409,21,Male,88,7,96,51,10,No,No,Graduate,82.06
410,21,Male,65,23,100,94,1,No,No,Graduate,94.88
411,23,Male,71,27,69,70,6,Yes,No,High School,90.04
412,22,Male,70,13,48,95,3,No,No,Graduate,84.84
413,23,Female,70,12,65,51,3,Yes,Yes,Graduate,62.47
414,22,Female,57,18,41,83,6,No,Yes,Postgraduate,90.76
415,23,Female,98,24,42,94,3,Yes,No,Graduate,100.0
416,20,Female,65,19,85,54,10,No,Yes,Postgraduate,93.03
417,21,Male,80,15,43,84,6,No,No,High School,81.24
418,18,Male,91,8,64,37,5,Yes,Yes,Graduate,66.56
419,22,Female,59,19,90,77,4,No,Yes,Postgraduate,77.26
420,22,Female,81,10,52,91,8,Yes,Yes,Graduate,83.35
421,18,Male,83,7,78,84,2,No,Yes,Postgraduate,80.66
422,23,Female,58,18,83,84,7,No,Yes,Postgraduate,91.44
423,22,Female,66,16,74,71,4,Yes,No,Graduate,79.42
424,24,Female,60,20,94,80,2,No,Yes,High School,89.64
425,20,Female,81,27,62,76,7,Yes,Yes,Postgraduate,100.0
426,21,Male,59,6,48,49,1,Yes,Yes,High School,40.14
427,18,Female,71,27,41,67,4,No,Yes,Graduate,95.14
428,21,Female,66,9,100,45,9,No,Yes,Graduate,79.29
429,24,Male,53,21,93,54,4,No,No,High School,77.53
430,22,Male,97,13,80,58,3,Yes,Yes,Graduate,74.13
431,22,Female,96,25,83,98,10,Yes,No,Postgraduate,100.0
